word|definition|sentence
dissemble|make believe with the intent to deceive|Naipaul is a difficult, imperfect narrator who does not care to be liked, but he is an honest one and doesn't _____.
dither|to be indecisive|Not wanting to offend either friend, he decided to _____ about which of the two birthday parties he should attend.
ebullient|extremely lively, enthusiastic|She became _____ upon receiving an acceptance letter from her first-choice college.
efface|to wipe out, obliterate, rub away|The husband was so angry at his wife for leaving him that he tried to _____ all evidence of her presence; he threw out pictures of her and gave away all her belongings.
efficacious|effective|My doctor promised me that the cold medicine was _____, but I'm still sniffling.
effrontery|impudence, nerve, insolence|When I told my aunt that she was boring, my mother scolded me for my _____.
effulgent|radiant, splendorous|The golden palace was _____.
elegy|a speech given in honor of a dead person|At the funeral, the widow gave a moving _____ describing her love for her husband.
emend|to correct or revise a written text|If my sentence is incorrect, the editor will _____ what I have written.
emollient|soothing|This _____ cream makes my skin very smooth.
enamor|to fill with love, fascinate, usually used in passive form followed by "of" or "with"|That boy was able to _____ me when he quoted my favorite love poem.
enervate|to weaken, exhaust|To write these sentences will _____ me so much that I will have to take a nap after I finish.
enfranchise|to grant the vote to|The Nineteenth Amendment decided to _____ women.
ennui|boredom, weariness|I feel such _____ that I don't look forward to anything, not even my birthday party.
ephemeral|lasting a very short time|Unlike our _____ weather features on Earth, Jupiter's storms last years, even centuries.
epistolary|relating to or contained in letters|Some people call me "Auntie's boy," because my aunt and I have such a close _____ relationship that we write each other every day.
equanimity|composure|Even though he had just been fired, Mr. Simms showed great _____ by neatly packing up his desk and wishing everyone in the office well.
equivocal|open to two or more interpretations|Now, this is an _____ and obscure reply, demanding explanation.
eschew|to shun, avoid|George hates the color green so much that he decided to _____ all green food.
esoteric|understandable only by an enlightened inner circle|If these basic principles can be misinterpreted, it shouldn’t be surprising that more _____ mathematics can be, too.
etymology|the history of words, their origin and development|From the study of _____, I know that the word "quixotic" derives from Don Quixote and the word "gaudy" refers to the Spanish architect Gaudí.
evanescent|fleeting, momentary|My joy at getting promoted was _____ because I discovered that I would have to work much longer hours in a less friendly office.
exculpate|to free from guilt or blame, exonerate|My discovery of the ring behind the dresser was able to _____ me from the charge of having stolen it.
execrable|loathsome, detestable|Her pudding is so _____ that it makes me sick.
exhort|spur on or encourage especially by cheers and shouts|Every headline would be a call to action, with a verb designed to _____ you — the reader — to learn, to grow, to investigate, to understand, to question.
exigent|demanding immediate attention|"These actions would require prior approval from an appropriate supervisory official and would typically involve _____ circumstances necessitating immediate action."
expedient|appropriate to a purpose|The Los Angeles Department of Water and Power decided that the most _____ solution was to refill a large portion of the lake.
expiate|to make amends for, atone|To _____ my selfishness, I gave all my profits to charity.
expunge|to obliterate, eradicate|Fearful of an IRS investigation, Paul tried to _____ all incriminating evidence from his tax files.
expurgate|to remove offensive or incorrect parts, usually of a book|The history editors decided to _____ from the text all disparaging and inflammatory comments about the Republican Party.
extant|existing, not destroyed or lost|My mother's _____ love letters to my father are in the attic trunk.
fatuous|silly, foolish|He considers himself a serious poet, but in truth, he only writes _____ limericks.
fecund|fruitful, fertile|The _____ tree bore enough apples to last us through the entire season.
flaccid|limp, not firm or strong|If a plant is not watered enough, its leaves become droopy and _____.
florid|flowery, ornate|The writer's _____ prose belongs on a sentimental Hallmark card.
forbearance|good-natured tolerance of delay or incompetence|He begged their _____ for his lengthy absences from the Wilmette house.
fractious|stubbornly resistant to authority or control|He was only some kind of folk legend, a warning used by mothers when youngsters were _____ or disobedient.
garish|tastelessly showy|She also had ridiculous, _____ makeup caked on her face, and an elaborate, upswept hairdo.
garrulous|full of trivial conversation|He was _____ and sociable and loved to be at the center of attention, but at the same time he was extraordinarily guarded about his private life.
gourmand|someone fond of eating and drinking|My father, who used to eat little more than crackers and salad, has become a true _____ in his old age.
grandiloquence|lofty, pompous language|The student thought her _____ would make her sound smart, but neither the class nor the teacher bought it.
gratuitous|unnecessary and unwarranted|While Latifah loves action and fighting, she doesn’t go in for _____ violence.
hackneyed|repeated too often; overfamiliar through overuse|The plot, they wrote, was _____ and formulaic.
hallowed|revered, consecrated|In the _____ corridors of the cathedral, the disturbed professor felt himself to be at peace.
hedonist|one who believes pleasure should be the primary pursuit of humans|Because he's such a _____, I knew Murray would appreciate the 11 cases of wine I bought him for his birthday.
iconoclast|someone who attacks cherished ideas or institutions|From the start, he was an _____, committed to using everyday materials and found artifacts, blurring the lines between sculpture and painting, between reproduction and individual creation, between objects and artworks.
idiosyncratic|peculiar to one person; highly individualized|I know you had trouble with the last test, but because your mistakes were highly _____, I'm going to deny your request that the class be given a new test.
idolatrous|excessively worshipping one object or person|Xena's _____ fawning over the band—following them on tour, starting their fan club, filming their documentary—is really beginning to get on my nerves.
impecunious|poor|"I fear he's too _____ to take me out tonight," the bratty girl whined.
impinge|to impact, affect, make an impression|The hail began to _____ the roof, leaving large dents.
impinge|to encroach, infringe|I apologize for trying to _____ upon you like this, but I really need to use your bathroom. Now.
impregnable|resistant to capture or penetration|Though the invaders used battering rams, catapults, and rain dances, the fortress proved _____ and resisted all attacks.
impute|attribute to a cause or source|Scientists _____ dental decay to high consumption of sugar, cautioning the public that children are not the only offenders.
inchoate|unformed or formless, in a beginning stage|The country's government is still _____ and, because it has no great tradition, quite unstable.
indefatigable|incapable of defeat, failure, decay|Even after traveling 62 miles, the _____ runner kept on moving.
indomitable|not capable of being conquered|To be honest, Jim, my _____ nature means I could never take orders from anyone, and especially not from a jerk like you.
ineffable|unspeakable, incapable of being expressed through words|It is said that the experience of playing with a dolphin is _____ and can only be understood through direct encounter.
inextricable|incapable of being disentangled or untied|Of course, the two "types" of health — physical and mental — are intimately intertwined, even _____, as health experts and doctors will attest.
inimical|tending to obstruct or cause harm|Nothing is more _____ to a respectful, rational and informative discussion than allowing the opponents to interrupt and speak over each other.
inquisitor|one who inquires, especially in a hostile manner|The _____ was instructed to knock on every door in town in order to find the fugitive.
insular|separated and narrow-minded; tight-knit, closed off|Because of the sensitive nature of their jobs, those who work for the CIA must remain _____ and generally only spend time with each other.
interlocutor|someone who participates in a dialogue or conversation|When the officials could not come to an agreement over the correct cover of the flags, the prime minister acted as an _____.
intransigent|refusing to compromise, often on an extreme opinion|The _____ child said he would have 12 scoops of ice cream, or he would bang his head against the wall until his mother fainted from fear.
inviolable|secure from assault|Nobody was ever able to break into Batman's _____ Batcave.
iridescent|showing rainbow colors|The bride's large diamond ring was _____ in the afternoon sun.
knell|the solemn sound of a bell, often indicating a death|Echoing throughout our village, the funeral _____ made the stormy day even more grim.
laceration|a cut, tear|Because he fell off his bike into a rosebush, the paperboy had a deep _____ on his arm.
laconic|terse in speech or writing|The author's _____ style has won him many followers who dislike wordiness.
largess|the generous giving of lavish gifts|My boss demonstrated great _____ by giving me a new car.
laudatory|expressing admiration or praise|Such _____ comments are unusual from someone who is usually so reserved in his opinions.
legerdemain|deception, slight-of-hand|Smuggling the French plants through customs by claiming that they were fake was a remarkable bit of _____.
libertarian|advocating principles of liberty and free will|The dissatisfied subjects overthrew the monarch and replaced him with a _____ ruler who respected their democratic principles.
limpid|clear, transparent|Mr. Johnson's _____ writing style greatly pleased readers who disliked complicated novels.
linchpin|something that holds separate parts together|The _____ in the prosecution's case was the hair from the defendant's head, which was found at the scene of the crime.
litigant|someone engaged in a lawsuit|When each opposing _____ began screaming at the other, Judge Koch ordered them to be silent.
maelstrom|a destructive whirlpool which rapidly sucks in objects|Little did the explorers know that as they turned the next bend of the calm river a vicious _____ would catch their boat.
malediction|a curse|When I was arrested for speeding, I screamed a loud _____ against the policeman and the entire police department.
maudlin|weakly sentimental|Although many people enjoy romantic comedies, I usually find them _____ and shallow.
mawkish|characterized by sick sentimentality|Although some nineteenth-century critics viewed Dickens's writing as _____, contemporary readers have found great emotional depth in his works.
meritorious|worthy of esteem or reward|Manfred was given the congressional medal of honor for his _____ actions.
mollify|cause to be more favorably inclined|To _____ farmers, a big part of his base, the president announced billions of dollars in aid to farmers.
munificence|generosity in giving|The royal family's _____ made everyone else in their country rich.
nascent|being born or beginning|Now, the Hong Kong neighborhood is thriving, as a _____ cultural scene emerges and as young creative types and entrepreneurs alike are being lured by cheaper rents.
noisome|unpleasant, offensive, especially to the sense of smell|Nobody would enter the stalls until the horse's _____ leavings were taken away.
obfuscate|to render incomprehensible|The detective did want to answer the newspaperman's questions, so he chose to _____ the truth.
obsequious|attempting to win favor from influential people by flattery|Sitting across a desk from the famous and powerful, he was friendly but not fawning, interested but never _____.
obstreperous|noisily and stubbornly defiant|Though he could be a sweet boy, he was often short-tempered and _____.
officious|intrusive in a meddling or offensive manner|Be careful however not to be too attentive, as you then become _____, and embarrass when you mean to please.
panacea|a remedy for all ills or difficulties|Doctors wish there was a single _____ for every disease, but sadly there is not.
pellucid|easily intelligible, clear|Wishing his book to be _____ to the common man, Albert Camus avoided using complicated grammar when composing The Stranger.
penultimate|next to last|Having smoked the _____ cigarette remaining in the pack, Cybil discarded the last cigarette and resolved to quit smoking.
penurious|miserly, stingy|Stella complained that her husband’s _____ ways made it impossible to live the lifestyle she felt she deserved.
perfunctory|hasty and without attention to detail; not thorough|Nathan’s post is _____, as if it’s been summarized from his earlier statements.
perspicacity|shrewdness, perceptiveness|The detective was too humble to acknowledge that his _____ was the reason for his professional success.
pertinacious|stubbornly persistent|Harry’s parents were frustrated with his _____ insistence that a monster lived in his closet. Then they opened the closet door and were eaten.
plenitude|an abundance|My grandmother was overwhelmed by the _____ of tomatoes her garden yielded this season.
poignant|arousing powerful emotions, especially pity or sadness|But all the while her heart beat in rhythm to the _____ sadness of the song the children sang while walking around in a ring with hands joined.
potentate|one who has great power, a ruler|All the villagers stood along the town’s main road to observe as the _____’s procession headed towards the capital.
precocious|characterized by exceptionally early development|"A _____ child," Miss Honey said, "is one that shows amazing intelligence early on. You are an unbelievably _____ child."
prepossessing|occupying the mind to the exclusion of other thoughts or feelings|His _____ appearance made it impossible for me to think of anything else.
prescient|to have foreknowledge of events|Questioning the fortune cookie’s prediction, Ray went in search of the old hermit who was rumored to be _____.
probity|virtue, integrity|Because he was never viewed as a man of great _____, no one was surprised by Mr. Samson’s immoral behavior.
profligate|recklessly wasteful|Inflation, according to economists such as Milton Friedman, was caused by _____ governments printing too much money to pay for excessive wage settlements and public spending pledges.
propitious|favorable|The dark storm clouds visible on the horizon suggested that the weather would not be _____ for sailing.
propriety|correct behavior|Mrs. Weston’s manners,” said Emma, “were always particularly good. Their _____, simplicity, and elegance, would make them the safest model for any young woman.
prosaic|not challenging; dull and lacking excitement|How can they entertain audiences with dull, _____ dialogue?
protean|able to change shape; displaying great variety|Among Nigel’s _____ talents was his ability to touch the tip of his nose with his tongue.
prurient|eliciting or possessing an extraordinary interest in sex|David’s mother was shocked by the discovery of _____ reading material hidden beneath her son’s mattress.
pulchritude|physical beauty|Several of Shakespeare’s sonnets explore the _____ of a lovely young man.
quixotic|idealistic, impractical|Edward entertained a _____ desire to fall in love at first sight in a laundromat.
quotidian|found in the ordinary course of events|The way we cook for and eat with others is one of the more tangible, _____ ways of measuring generosity.
recalcitrant|stubbornly resistant to authority or control|Parents are known at times to deliver an ultimatum to a _____ child by saying, “Do this, or else!”
rectitude|uprightness, extreme morality|The priest’s _____ gave him the moral authority to counsel his parishioners.
renunciation|to reject|Fiona’s _____ of red meat resulted in weight loss, but confused those people who thought she’d been a vegetarian for years.
rhapsodize|to engage in excessive enthusiasm|The critic decided to _____ about the movie, calling it an instant classic.
saccharine|sickeningly sweet|Tom’s _____ manner, although intended to make him popular, actually repelled his classmates.
sacrosanct|holy, something that should not be criticized|In the United States, the Constitution is often thought of as a _____ document.
sagacity|the trait of having wisdom and good judgment|For all his _____, for all his caution and astuteness, the old judge had gone the way of the rest.
sanguine|confidently optimistic and cheerful|You seem generally more _____ about things, and less depressed about the state of the world, than I expected to find you.
scrupulous|characterized by extreme care and great effort|She is savvy and always ready with a backup plan; she is diligent, and pays _____ attention to details; and she is focused, quickly assessing the risk involved in all situations.
semaphore|a visual signal|Anne and Diana communicated with a _____ involving candles and window shades.
solicitous|full of anxiety and concern|She and Grace are _____ on the way home, linking their arms through mine, asking me how I feel.
solipsistic|believing that oneself is all that exists|Colette’s _____ attitude completely ignored the plight of the homeless people on the street.
spurious|plausible but false|So, with all this in mind, how do you tell _____ comments and reviews from genuine ones?
strident|being sharply insistent on being heard|He was interrupted, many times, by _____ protesters.
sublime|inspiring awe|J. S. Bach was probably the cleverest composer who ever lived, but he gave his performers almost no detailed instructions as to how they might play his _____ music.
surreptitious|conducted with or marked by hidden aims or methods|Committee officials flatly deny that the files were obtained through _____ means.
swarthy|of dark color or complexion|When he got drunk, Robinson’s white skin became rather _____.
tacit|implied by or inferred from actions or statements|Unlike Mao, he seeks the _____ support of the people, rather than their active intervention.
temerity|fearless daring|No one even knew Major de Coverley’s first name, because no one had ever had the _____ to ask him.
trite|repeated too often; overfamiliar through overuse|Because I am loud and talkative, my words are thought _____ and silly.
turgid|swollen, excessively embellished in style or language|The haughty writer did not realize how we all really felt about his _____ prose.
upbraid|express criticism towards|Ash went about her work in silence as Ana chose to _____ her about her poor cooking skills, the invisible layer of dust on the dining room table, the unevenness of her stitching on their stockings.
vacillate|be undecided about something|I did not dwell on the situation at Fort Hare, but life has a way of forcing decisions on those who _____.
vapid|lacking significance or liveliness or spirit or zest|I learn that Lou Anne, whom I find dull and _____ and have never paid much mind to, gave Louvenia two weeks off with pay so she could help her grandson.
variegated|diversified, distinctly marked|Each wire in the engineering exam was _____ by color so that the students could figure out which one was which.
venerable|impressive by reason of age|Never once had he imagined Dumbledore’s childhood or youth; it was as though he had sprung into being as Harry had known him, _____ and silver-haired and old.
vestige|an indication that something has been present|I’m no archaeologist, but even a tiny _____ of an empire nine centuries gone is beautiful and intriguing.
vicarious|experienced at secondhand|I felt a _____ delight just being near the excitement.
vicissitude|a variation in circumstances or fortune|Roosevelt embraced the unique capacity of government to pull people together and create pools of social insurance that shielded all Americans against each risk and _____ that we all face in common.
wanton|unprovoked or without motive or justification|He frets about the _____ vandalism at the garden.
